层编号,模块名称,原始维度,剪枝后维度,保留率,稀疏度
23,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
23,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
23,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
23,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
24,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
24,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
24,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
24,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
24,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
24,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
24,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
25,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
25,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
25,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
25,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
25,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
25,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
25,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
26,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
26,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
26,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
26,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
26,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
26,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
26,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
27,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
27,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
27,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
27,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
27,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
